GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
1	6.2551694	6.0559845	6.1099358	6.1519184	6.1988444	6.386364	6.2041397	6.43353	6.14591
100	7.8968215	8.286755	7.632288	8.227259	7.8402767	7.760939	7.833861	7.056129	8.153091
10001	9.206061	9.238976	9.288168	9.097523	9.246995	8.907661	9.11685	8.273854	8.932503
10004	6.093253	6.3487396	6.3359923	6.4093356	6.190852	6.3946877	6.5195665	6.2866106	6.7906623
10007	9.973804	9.413348	10.21829	10.253112	9.862776	10.524182	10.461747	9.550461	10.248046
10009	9.746831	9.230441	9.552793	10.141065	10.468932	10.0442095	10.572529	10.161331	10.032897
1001	5.9729033	5.9895372	5.7921557	6.091265	6.074086	5.9768667	5.8258657	5.974551	6.114968
10010	8.171727	9.003217	8.920312	9.18282	8.692037	8.183415	9.154415	9.147218	8.597689
10011	8.236905	7.5855856	7.1346164	7.165092	6.7327204	6.910416	6.9014754	7.6436744	8.027762
100126270	5.964718	5.8125143	5.793107	5.9537845	5.8031487	5.8618507	5.996567	5.936908	5.9700384
100126798	6.591085	6.193299	6.6147194	7.053489	6.1062074	7.564906	6.5904546	6.331511	6.633754
100128788	6.98833	6.541317	6.759127	6.9309344	6.666032	6.8249793	6.5354495	6.2880955	6.66886
100129027	5.772107	6.0624895	6.0187984	5.843466	5.915524	5.778204	6.1106586	6.100551	5.9640045
10013	10.667215	8.760984	10.186479	8.564036	10.009373	9.648877	9.005522	9.254898	9.40758
100130705	6.2865005	6.0762177	6.2440004	6.228973	6.2510567	6.2409825	6.277257	6.2763767	6.3719416
100132476	6.0013394	6.1188393	6.0463037	5.8766866	6.078572	6.051075	5.9750333	6.088758	5.905525
100132987	6.296634	6.1586194	6.123205	6.1807284	6.2844067	6.2752514	6.182429	6.1900315	6.247879
100144748	6.455395	6.269995	6.2539477	6.1924634	6.060458	6.5060616	6.3271694	6.1682563	6.1464157
10016	10.72803	10.837254	10.939927	10.618358	10.7693205	10.901458	10.696133	10.441143	10.360356
10018	5.953626	6.0113344	5.9542847	5.864572	6.070071	6.46887	5.8795743	6.1127796	5.884906
10020	9.897124	10.72353	9.885644	9.447287	10.510986	10.282988	9.669209	11.059645	9.726589
10021	6.1640286	5.809577	5.9514465	5.768845	6.101799	6.1337147	5.951648	5.9948297	6.0974307
