GSM2367635	GSM2367636	GSM2367637	GSM2367638	GSM2367639	GSM2367640	GSM2367641	GSM2367642	GSM2367643	GSM2367644	GSM2367645	GSM2367646
1	6.4168067	6.218215	5.949276	6.314201	6.3062825	6.480192	6.420822	6.525802	6.229961	6.244468	6.403099	6.4955964
100	7.809355	7.5040565	8.363168	8.532581	8.107393	7.4025364	8.324065	7.8587427	7.669755	7.8079247	7.569277	8.393724
10001	9.226682	9.201776	9.042043	9.304322	9.431319	9.473413	9.661762	9.3927355	9.24801	9.132648	9.748707	9.601529
10004	6.5013065	6.190994	6.8171554	6.338793	6.860434	6.3226676	6.210684	5.9772964	6.343827	7.4847913	6.251972	6.4459496
10007	10.06777	10.0427265	11.11488	11.039864	10.831371	9.661129	10.551194	10.168047	10.184235	10.550292	9.888323	10.795453
10009	9.718578	10.918904	9.969518	9.932662	10.134887	9.966072	10.0144825	9.952616	9.93963	9.282138	9.891324	9.777422
1001	5.939748	5.9700003	6.0000978	6.0124097	5.9765043	5.8870697	5.9436026	6.1594176	5.862759	6.3077044	5.9256716	6.09651
10010	8.798905	8.552393	8.477973	8.147161	8.609421	8.293594	8.410502	8.940172	8.7654295	8.880523	8.865488	8.438965
10011	7.0127764	7.321226	7.350956	6.6831856	7.3667765	7.2622766	7.8623195	7.1080284	7.52295	7.3607025	7.455006	7.767653
100126270	5.9220963	6.007132	5.793089	5.854279	5.834049	5.814684	5.8208237	5.8970003	5.93667	5.759061	5.710916	5.9184437
100126798	8.257996	7.1609287	8.097391	7.699729	6.8786955	11.460324	7.7311845	7.3598113	6.9985633	7.4390593	7.3787556	7.5344224
100128788	6.4254203	6.9080715	7.108401	6.300659	6.410704	7.756906	7.3086753	6.5694456	6.6515822	6.153731	6.589049	7.561653
100129027	5.938973	6.012107	6.0233836	5.768264	6.0423255	5.967752	5.9831676	6.012783	6.039941	5.9215884	5.9999514	6.0669417
10013	8.597028	10.007882	9.549496	8.521226	8.424532	8.67909	8.822951	9.919653	9.618061	7.9875784	9.71275	9.353461
100130705	6.182656	6.3280797	6.2809854	6.3287983	6.2536073	6.3055496	6.409937	6.716997	6.2169886	6.353293	6.5000215	6.41512
100132476	6.1200166	6.0483975	5.8993387	6.038021	6.1579337	6.1991754	6.198699	6.2220235	6.1371884	6.1074553	6.2358046	5.974831
100132987	6.1717334	6.12673	6.1885085	6.0890265	6.1239934	5.9839177	6.089543	6.2955527	6.119222	6.1876698	6.321004	6.2286744
100144748	6.3085585	6.208193	6.366207	6.2965693	6.2917066	6.218055	6.419022	6.2693152	6.375668	6.205316	6.278542	6.339503
10016	10.131107	10.521307	10.838426	10.86965	11.053287	10.599957	10.653133	10.298582	10.567646	11.006133	9.536925	10.667215
10018	6.1945424	6.0472226	6.0401807	5.9049706	6.074994	6.154997	6.0901313	6.060272	6.006078	6.229647	6.2245364	6.299908
10020	10.57451	9.199904	9.344612	8.581484	8.870666	10.553169	8.38166	10.550292	10.357037	8.122953	9.948398	8.877508
10021	5.8653274	5.904504	6.0142303	6.0508842	6.220898	6.0846353	6.1062965	6.1847005	6.178913	6.1485043	6.241318	6.1759996
10024	6.7967286	7.068889	6.410704	7.4729238	6.04775	8.263422	8.013911	6.0454884	6.3361974	7.3297596	8.003417	7.6863213
100240735	6.0202804	6.0513086	6.330276	5.8923492	6.6910434	6.2056785	6.065352	6.0308228	5.8983507	6.2380457	5.898468	6.0077586
10025	8.657495	9.47826	9.048891	8.802699	9.373552	9.512502	8.925298	8.994265	8.991695	9.866083	9.665406	9.232065
100287171	10.259544	11.301591	11.652169	11.569576	11.304575	10.36428	11.296018	10.443741	10.614054	12.438751	10.54631	11.562926
100287482	5.881744	5.641414	5.7323165	5.735718	5.857379	5.695883	5.7506714	5.839803	5.7780104	5.8188853	5.8050184	5.978847
100287932	7.984394	7.2557063	7.205057	7.7022014	7.217555	7.7029996	7.116941	7.715604	7.319174	7.3321776	7.4899483	6.9163904
100288413	6.0326004	5.9741983	5.830017	6.629055	6.0022283	6.9539633	6.0463357	5.890997	5.9356427	6.2803316	6.0034895	5.9303813
100288524	5.697851	5.9945054	5.9056597	6.1535816	6.1927032	5.9319735	6.778266	6.053235	6.309637	5.9171185	6.5024066	5.9504404
100289635	6.955973	7.2473598	7.236733	8.172053	6.6088634	6.814578	7.459683	6.7347593	6.6317916	7.6577277	6.9630322	8.264083
1003	9.123101	9.42262	9.945736	8.412864	9.0792465	8.843568	8.830614	8.824606	9.123641	8.273527	8.402502	9.248465
100316868	6.1273575	6.408915	6.1080174	6.2336035	6.1712003	6.1106844	6.0728993	5.9989653	6.118818	6.0305233	6.3459115	6.4633875
10036	6.0318604	5.6941586	5.7530894	6.2286	5.8804374	6.913896	6.038056	5.7006965	5.947734	6.4048114	6.270938	6.0729876
100379345	7.280247	7.601536	6.6769657	7.920681	6.8808336	6.985773	6.993674	6.617627	7.1300797	10.470807	7.8434668	7.7557516
10038	8.400393	8.185014	7.6973324	7.758248	7.215067	8.051279	7.869919	7.4353747	7.464194	7.30268	7.6272435	7.8394384
10039	7.9136715	8.362801	8.411639	7.2035627	8.092936	7.842058	7.9759808	8.151105	8.426011	7.589377	8.024782	7.830209
1004	5.8899717	5.706688	5.8183374	5.9497194	5.684855	5.758399	5.77974	5.775622	5.865984	5.979071	5.6412435	5.8416142
10043	6.741009	7.2871614	6.899037	7.358676	6.580282	6.500556	6.7354054	6.4970875	6.937174	6.519128	6.842178	7.554536
10044	7.909247	8.228981	8.800141	7.6603436	7.95814	7.752211	8.34038	7.7268486	7.82114	7.7262645	7.361694	8.158205
10045	5.9261236	5.905564	5.735161	6.0148363	6.532292	6.0144606	6.0264225	5.93738	6.138909	7.9079976	6.0383396	6.3149242
10048	6.631075	6.5109315	6.356138	6.036903	6.2062974	6.2051225	6.3620343	5.9179215	6.133665	6.257087	6.1781363	6.1488457
10050	9.957244	9.989461	9.027051	7.0737486	8.863407	9.476693	10.33024	8.41787	9.730062	9.010808	9.518731	9.786266
100505975	6.168658	5.7442517	5.860165	6.019785	5.9139357	5.921999	6.035173	5.8684363	5.7370453	5.7242346	5.8905396	5.745753
100506084	6.1411424	6.2045393	6.179322	6.1990747	6.0537086	6.1100893	6.157607	6.1588	6.1976366	6.1086564	6.149022	5.9318113
100506136	6.0132947	6.2619514	5.930813	5.889372	6.2662606	5.9982624	5.971041	6.136636	6.1319566	6.2493873	5.991544	6.0369496
100506164	6.2212143	6.2340937	6.039752	6.342725	6.7361717	6.415044	6.6323395	6.7771215	6.8709583	6.1807613	6.322145	6.5167685
100506668	6.872283	6.6142173	6.7565007	6.673598	6.716701	6.946633	6.679689	6.3717284	6.4065495	6.5996733	6.6228848	6.861928
100507003	5.9681277	5.933546	5.820652	6.0509367	6.0421724	5.9049063	5.75508	5.604073	5.842144	5.9365582	5.7996764	5.8999357
100507436	6.2682366	6.2923136	6.3559365	6.3718677	6.5724955	6.9014754	6.4744124	6.87816	6.1678596	6.555905	6.743373	6.5521827
100507470	5.8530455	5.9581676	6.121677	5.99643	6.0374656	6.151419	5.861888	5.9504514	5.887745	5.9430685	5.92312	5.898453
10051	5.901026	6.0308876	6.0041723	6.026229	6.100376	6.3025136	6.4106264	6.3877892	6.0900273	5.9531026	6.552536	6.210765
10053	5.865664	6.1280036	5.929392	5.968829	6.05749	5.930953	5.720071	6.11691	5.8297067	5.5915194	5.680962	5.6916237
10055	11.782991	11.595194	11.124356	12.823335	11.461751	12.6784115	12.775695	10.891512	11.281477	12.6250305	12.016303	12.265207
