GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
1	6.332664	6.2235675	6.384065	6.333901	6.4255037	6.372766	6.3130436	6.349235	6.2569966	6.3189793	6.212025	6.2392306	6.326085	6.189313
100	7.596423	7.5664644	8.576256	8.068439	7.7727876	7.837175	8.652081	8.14999	8.588046	7.9562244	8.951301	8.55349	7.570796	8.571345
10001	9.017979	9.854421	9.539232	9.803905	9.155864	9.689222	9.15685	9.289139	8.999785	10.154319	9.308006	9.646514	9.1094475	9.089726
10004	6.3248124	6.3829026	6.539866	6.2889013	6.6408067	6.2159457	6.7804728	6.439937	6.551924	8.488758	7.1300797	7.683954	6.57944	6.5818434
10007	10.291102	9.966836	10.951903	9.881126	10.4347	11.370535	11.281477	10.112321	10.712066	10.165764	11.777439	11.01879	9.73633	11.775618
10009	10.443741	10.337527	10.661137	11.057139	10.163588	10.289491	9.7043	9.739636	9.402426	10.7452345	9.874803	9.3068695	9.962678	10.003651
1001	5.8924527	5.9943037	6.078494	5.911076	6.1669745	6.0809054	7.14874	6.0894	6.0996494	5.9273996	6.1287413	6.25449	6.174716	5.9248786
10010	9.12222	8.87876	9.277627	8.895598	9.172357	9.052427	9.251538	9.079658	8.043643	7.8965387	8.599186	9.047033	9.141111	7.494021
10011	7.2200413	7.7016015	6.96087	7.2557063	6.664162	6.8570538	7.2315173	7.244011	7.2099667	7.9249673	7.089663	7.8196273	7.3208094	7.815204
100126270	5.8706627	5.9759555	5.7792845	5.9810834	5.8529973	5.8940377	5.955684	5.936595	5.940062	5.978589	6.0123687	6.052089	5.948928	6.055866
100126798	6.951888	6.578301	6.9569335	7.1934047	6.851536	8.504456	7.0815306	6.9237394	10.103876	12.485078	7.522689	7.3376174	6.5359116	7.013976
100128788	6.5495987	6.8565407	6.2255335	6.5206456	6.1220193	6.2763243	6.1211267	6.522129	6.1954365	8.63609	6.481115	6.1288347	6.356354	6.212905
100129027	5.8643723	5.787243	5.8366103	5.9021792	5.893077	5.974613	5.9658704	5.8497515	5.8625417	5.9722185	5.7966766	5.8541274	5.8484898	5.895388
10013	9.110425	8.273222	8.001393	7.8293586	8.906508	8.278362	7.714287	9.2653	7.963074	10.479057	8.267125	7.8429165	9.477769	8.502413
100130705	6.21659	6.3404374	6.315711	6.2361894	6.3792257	6.360641	6.2880955	6.211264	6.2766705	6.386866	6.246637	6.2762723	6.354461	6.3017554
100132476	6.1613503	5.9862275	6.1595035	6.189788	6.1580787	6.1715693	6.077738	6.1106844	6.0535765	6.1559873	6.0645485	6.118743	6.047289	6.0013695
100132987	6.1051536	6.113057	6.31408	6.098125	6.119338	6.3333635	6.039752	6.2612557	6.1681013	6.167082	6.187389	6.1378036	6.15611	5.9461484
100144748	5.9892325	6.234137	6.3231735	6.212225	6.225146	6.276172	6.154877	6.304615	6.137418	6.164793	6.141551	6.1088552	6.098939	6.216753
10016	10.760095	10.826539	10.719174	10.725907	10.250469	10.616342	10.6425	11.241228	12.395865	11.385914	10.918904	10.62161	10.845053	9.875445
10018	5.875021	6.4104605	6.078001	6.4578357	6.049667	6.4426017	6.3559365	5.9390626	6.100249	6.3195	6.990328	6.1220927	5.9017143	6.079125
10020	9.399386	8.891066	8.511148	10.171032	9.705526	8.927349	9.062283	10.504025	9.450129	9.555147	9.082955	8.300264	10.435765	8.815999
10021	5.964314	5.86951	6.10946	6.046535	6.088845	6.1174407	6.0026684	6.0628963	5.9707737	6.099883	5.8789725	5.9316573	6.2220626	6.098814
10024	7.4337206	6.5590577	6.918073	6.2730894	6.2720594	7.3065724	7.2525887	6.0255075	7.342861	7.997173	7.284917	6.164565	6.01015	7.629063
100240735	6.082153	6.0928507	6.540741	6.1727705	6.3311677	5.806168	6.45059	6.374574	6.211799	5.8770733	6.075347	7.0662165	6.112194	5.8797374
