Genes	GSM2367567	GSM2367568	GSM2367569	GSM2367570	GSM2367571	GSM2367572	GSM2367573	GSM2367574	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
1	6.467201	6.4026976	6.6548414	6.394213	6.3167086	6.2490463	6.361969	6.346845	6.2386975	6.3638163	6.122162	6.2396674	6.2115474	6.3986077	6.3359923	6.0583906	6.2833076	6.4655757	6.3361974	6.2360396	6.348803
100	7.546613	7.6768374	7.545477	7.1670904	7.268835	7.578735	7.9477973	7.2344766	7.5260267	7.714786	7.2667584	7.7005143	7.251774	7.8279557	7.409562	7.7842884	7.5021205	8.02153	7.6547003	8.611618	7.499598
10001	8.939764	9.113151	9.224844	9.074966	8.85966	9.165954	9.073513	9.182296	9.288664	8.959472	9.165954	9.941873	9.062686	9.015213	9.115906	9.225297	8.9993305	9.291593	9.030325	9.055145	9.08739
10004	6.172473	6.117148	6.580977	6.2469153	6.2636447	6.1004567	6.3235664	6.2257495	6.200556	6.1637926	6.036747	6.3284006	6.189313	6.3724985	6.129464	6.081004	6.034835	6.1156526	6.0977087	6.5231695	6.084398
10007	9.366086	9.777956	9.713301	9.697326	9.6606045	9.701869	9.768525	9.495927	9.919653	9.915462	9.749957	9.893392	9.470069	10.007882	10.04651	10.14965	9.489521	10.253112	9.577265	11.146966	9.674831
10009	9.290091	9.416809	9.584392	9.719235	9.861669	9.932662	9.636183	9.924436	9.56874	9.885644	9.506132	9.536432	9.443569	9.99995	8.966454	9.68231	9.12222	9.688122	9.058543	9.827078	9.289139
1001	5.8794346	5.87922	5.8721304	5.957378	5.845091	5.8553295	6.1132636	5.8862686	5.901903	5.7087007	6.0023203	6.138909	6.1573424	5.926853	5.947814	5.973608	5.9939475	5.954679	5.979682	5.9964423	5.933177
10010	9.618061	9.498191	9.181379	9.110425	8.506987	9.339277	8.943022	9.262221	9.08637	9.189665	9.60688	9.420396	9.021612	9.278112	9.217036	8.97772	9.341044	9.341971	9.39833	8.805656	8.698444
10011	6.880659	7.1082225	6.9853377	6.9868717	7.5621614	7.056292	7.0066648	6.9298344	6.8346667	6.8744216	7.1020203	7.035776	6.7083626	6.6017275	6.8622823	7.3014154	6.8686686	7.289819	7.089843	7.180656	7.0999603
100126270	5.5855837	5.9778633	5.8253703	5.8625307	6.059889	5.7634726	5.9155335	5.9017754	5.8842015	5.81814	5.8871527	5.8076253	5.909272	5.9510875	5.930419	5.8535337	5.827866	5.8314514	5.8312635	5.8800097	5.9793653
100126798	6.666167	7.575139	6.614571	6.285086	6.1608205	6.693556	6.221692	6.5448165	6.1871448	7.0096784	6.0752892	6.9728494	6.8760343	6.3781047	7.488132	7.6913977	6.62158	6.27247	7.6339254	7.1799827	6.371265
100128788	6.553633	6.529829	6.168015	6.2662606	6.63716	6.5164323	6.123079	6.3043203	6.330949	6.391959	6.4806857	6.1627464	6.583314	6.0490365	6.3652287	6.193189	6.192565	6.1393275	6.3793097	6.4819307	6.392846
100129027	6.0318418	5.9312015	5.810522	5.980206	6.1765456	5.745966	5.959915	5.870062	6.0939336	5.983223	6.026059	5.8890147	6.00043	5.965077	6.0936246	5.982477	6.2119465	6.0841894	6.052631	6.0177712	5.839249
10013	9.18001	9.385096	9.161523	8.899995	9.282628	9.172823	9.35595	9.358694	8.998888	9.030325	9.181379	8.648873	9.381067	8.82347	9.599833	9.707983	9.412851	8.963098	9.111727	9.345153	9.542421
100130705	6.4410605	6.577548	6.378904	6.333901	6.235025	6.3039765	6.4008904	6.3430724	6.2763767	6.286669	6.2361426	6.3909283	6.4346766	6.4071608	6.6558294	6.6217256	6.494223	6.467594	6.6614776	6.355326	6.4730563
100132476	5.9972577	5.988519	6.1122203	5.9738207	6.2253256	6.0579805	6.3049765	6.021495	5.9422326	6.1543703	6.02282	6.1011543	6.122398	6.1255836	6.3922024	6.188403	5.98906	6.2862797	6.1371884	6.1087866	6.02486
100132987	6.31281	6.2185435	6.137064	6.3143854	6.2852044	6.160023	6.2333713	6.272682	6.253138	6.281439	6.492589	6.1970854	6.2387853	6.102808	6.898654	6.1891155	6.2110214	6.1807284	6.3956537	6.2117195	6.3917317
100144748	6.361969	6.4425144	6.323234	6.24729	6.2842994	6.2728333	6.3013835	6.129617	6.243007	6.357468	6.434484	6.290892	6.2665505	6.5946746	6.5915065	6.543807	6.4530344	6.6061597	6.688015	6.4680023	6.742765
10016	10.494623	10.378199	10.690923	10.192597	10.27887	10.54271	10.335058	10.752214	10.418688	10.358611	10.57451	10.702553	10.379052	10.4168415	10.174033	10.097319	10.246573	10.455043	10.109887	10.320384	10.30234
10018	5.6723447	6.00953	6.2045393	6.153376	5.894116	6.1525407	5.9911265	5.928195	6.00815	6.151671	6.0027595	6.121748	6.399666	6.1310678	6.076012	5.891854	6.0110455	5.7995715	5.9891286	5.9749336	5.96167
10020	11.292995	11.232549	11.218849	11.227976	10.89658	11.1571665	11.298603	10.706971	11.11488	11.192711	11.323609	9.646514	11.031036	10.838426	11.236675	10.7693205	11.2496195	11.032237	11.424598	10.263489	11.208267
10021	5.868111	6.036247	6.164468	6.016355	6.3017554	6.0839763	6.23516	6.034338	6.125917	5.9744725	6.053505	6.1141677	6.0624557	6.0498724	6.18704	6.2594805	6.0016127	6.0297794	6.2631497	6.111118	6.0204782
10024	6.0258684	5.781729	6.0005555	6.116524	5.85849	5.897338	5.778533	6.0407543	5.9538765	5.9912443	5.9273996	5.978312	6.09072	5.949733	6.1017766	5.933126	6.013739	6.155143	5.908591	6.22606	6.065461
100240735	6.3633704	5.8575296	6.3987074	6.382746	6.1615233	6.272208	6.3600993	6.239351	6.320484	6.144457	6.1696105	6.3091965	6.444119	6.297738	6.606984	6.4128675	6.1597047	6.330276	6.0588026	6.6667404	5.978284
10025	9.758423	9.685196	9.693042	9.698394	9.809325	9.482687	9.389149	8.551979	9.662958	9.680314	9.600394	8.940172	9.697871	9.641376	9.710957	9.259592	9.51928	9.2003765	9.819909	9.331032	9.829011
100287171	10.316027	10.65088	10.858115	10.789531	10.578477	10.400209	10.851068	10.955937	10.698286	10.689748	10.555879	10.976116	10.724647	10.783846	11.110684	10.602126	11.117589	10.900215	10.671249	10.88245	10.77699
100287482	5.835995	5.8226814	5.748367	5.9078226	5.775922	5.8040423	6.1407943	5.7748175	5.895929	5.872264	5.9976063	5.7233615	5.8779254	5.732265	5.8823357	5.967752	5.827403	5.940459	5.8700213	5.790463	5.7864637
100287932	8.153091	7.387938	7.6416364	7.765997	7.7668395	8.176949	7.5512323	7.973378	7.5264826	7.741101	7.8274198	7.714287	7.571581	7.8124785	7.7405114	7.0792294	7.384639	7.7939706	7.587578	7.380967	7.6418796
100288413	5.8026404	5.7966766	5.811626	5.760882	5.6770773	5.853948	5.8683977	5.8544526	5.5410013	5.5705338	5.7923965	6.145494	5.990588	5.9174423	5.8371463	5.9557705	5.754442	5.706611	5.794501	5.753066	5.685332
