Genes	GSM2367587	GSM2367588	GSM2367589	GSM2367590	GSM2367591	GSM2367592	GSM2367593	GSM2367594	GSM2367595	GSM2367596	GSM2367597	GSM2367598	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
1	6.17836	5.9235125	6.243688	6.179078	6.178913	5.98175	5.961276	6.061149	6.1440578	6.0793805	6.237211	5.84546	6.2386975	6.3638163	6.122162	6.2396674	6.2115474	6.3986077	6.3359923	6.0583906	6.2833076	6.4655757	6.3361974	6.2360396	6.348803
100	7.7382584	7.969147	7.854208	7.5609655	7.792168	7.737384	8.163467	7.660125	8.142282	7.638189	7.632288	7.1381984	7.5260267	7.714786	7.2667584	7.7005143	7.251774	7.8279557	7.409562	7.7842884	7.5021205	8.02153	7.6547003	8.611618	7.499598
10001	8.959472	9.198865	9.216053	9.103081	9.367687	9.258563	9.347888	9.15871	9.371969	9.249023	9.1481905	9.134059	9.288664	8.959472	9.165954	9.941873	9.062686	9.015213	9.115906	9.225297	8.9993305	9.291593	9.030325	9.055145	9.08739
10004	6.486389	6.4994893	6.535217	6.4653897	6.724311	6.732285	6.6468463	6.7967286	6.9764676	6.8635063	6.1005282	6.3399134	6.200556	6.1637926	6.036747	6.3284006	6.189313	6.3724985	6.129464	6.081004	6.034835	6.1156526	6.0977087	6.5231695	6.084398
10007	10.545351	10.346107	10.083508	9.931202	10.203277	10.233471	10.200903	9.709816	10.310682	9.831798	9.675445	9.589576	9.919653	9.915462	9.749957	9.893392	9.470069	10.007882	10.04651	10.14965	9.489521	10.253112	9.577265	11.146966	9.674831
10009	9.892713	10.194836	9.82643	10.21829	10.176325	9.442976	9.904589	9.633972	9.603933	9.360176	9.811533	9.515355	9.56874	9.885644	9.506132	9.536432	9.443569	9.99995	8.966454	9.68231	9.12222	9.688122	9.058543	9.827078	9.289139
1001	6.1216574	5.962006	6.0188575	5.845063	6.033266	6.0511737	6.010426	6.1285615	6.157233	5.8875794	5.801518	5.6828	5.901903	5.7087007	6.0023203	6.138909	6.1573424	5.926853	5.947814	5.973608	5.9939475	5.954679	5.979682	5.9964423	5.933177
10010	8.883801	9.241559	8.959472	9.11685	9.025191	9.152074	9.281249	9.085527	9.013026	8.889755	8.943928	8.799787	9.08637	9.189665	9.60688	9.420396	9.021612	9.278112	9.217036	8.97772	9.341044	9.341971	9.39833	8.805656	8.698444
10011	7.0295715	6.8888717	6.75399	6.948809	7.044626	7.201166	6.8935156	7.025818	6.868153	7.1523066	6.974244	7.2776656	6.8346667	6.8744216	7.1020203	7.035776	6.7083626	6.6017275	6.8622823	7.3014154	6.8686686	7.289819	7.089843	7.180656	7.0999603
100126270	5.9884367	5.8110437	6.0862894	5.9127593	5.8367434	5.931799	6.031376	6.0079393	6.2373796	5.929635	6.112391	5.9244857	5.8842015	5.81814	5.8871527	5.8076253	5.909272	5.9510875	5.930419	5.8535337	5.827866	5.8314514	5.8312635	5.8800097	5.9793653
100126798	6.925511	6.519459	7.0975657	6.786824	6.826733	7.943593	6.158142	6.553143	7.4902067	8.255705	6.466708	6.519906	6.1871448	7.0096784	6.0752892	6.9728494	6.8760343	6.3781047	7.488132	7.6913977	6.62158	6.27247	7.6339254	7.1799827	6.371265
100128788	6.1867266	6.49815	6.3319817	6.247739	6.6555667	6.37832	6.2535534	6.46769	6.154108	6.6432056	6.3689017	6.4050064	6.330949	6.391959	6.4806857	6.1627464	6.583314	6.0490365	6.3652287	6.193189	6.192565	6.1393275	6.3793097	6.4819307	6.392846
100129027	5.857222	5.8915563	5.8381834	5.8045774	5.9799333	6.0322714	6.194155	5.828652	6.0211697	5.905425	5.9679856	5.840521	6.0939336	5.983223	6.026059	5.8890147	6.00043	5.965077	6.0936246	5.982477	6.2119465	6.0841894	6.052631	6.0177712	5.839249
10013	8.797251	9.64764	9.355499	9.258563	8.584107	9.0511675	9.420396	9.40088	8.982462	9.0340805	9.6453495	9.903967	8.998888	9.030325	9.181379	8.648873	9.381067	8.82347	9.599833	9.707983	9.412851	8.963098	9.111727	9.345153	9.542421
100130705	6.3376517	6.730577	6.13176	6.3356595	6.2865553	6.27779	6.3059072	6.1940517	6.263337	6.3291807	6.287807	6.242474	6.2763767	6.286669	6.2361426	6.3909283	6.4346766	6.4071608	6.6558294	6.6217256	6.494223	6.467594	6.6614776	6.355326	6.4730563
100132476	5.9938235	6.142606	6.0882397	6.008927	5.9093423	6.022606	5.9819074	5.88538	5.8938804	6.0470204	6.1379833	6.0294785	5.9422326	6.1543703	6.02282	6.1011543	6.122398	6.1255836	6.3922024	6.188403	5.98906	6.2862797	6.1371884	6.1087866	6.02486
100132987	6.1748095	6.201815	6.221056	6.0307426	6.076746	6.2196383	6.1116943	6.264167	6.1479716	6.2579975	6.1409535	6.2659426	6.253138	6.281439	6.492589	6.1970854	6.2387853	6.102808	6.898654	6.1891155	6.2110214	6.1807284	6.3956537	6.2117195	6.3917317
100144748	6.220652	6.31402	6.2531834	6.137418	6.1366854	6.255469	6.209843	6.139686	6.209303	6.0613093	6.3822584	6.23352	6.243007	6.357468	6.434484	6.290892	6.2665505	6.5946746	6.5915065	6.543807	6.4530344	6.6061597	6.688015	6.4680023	6.742765
10016	11.161416	10.477185	10.933584	10.666171	11.003791	10.356011	10.561822	10.722264	10.719174	10.796433	10.2952	10.351933	10.418688	10.358611	10.57451	10.702553	10.379052	10.4168415	10.174033	10.097319	10.246573	10.455043	10.109887	10.320384	10.30234
10018	5.932621	5.852299	5.96326	5.925328	6.1330104	5.860656	5.9750752	6.0755315	6.030727	5.906704	6.0278645	6.1574035	6.00815	6.151671	6.0027595	6.121748	6.399666	6.1310678	6.076012	5.891854	6.0110455	5.7995715	5.9891286	5.9749336	5.96167
10020	9.24549	10.608154	10.244196	10.973536	9.861093	10.799934	10.4726095	10.6425	9.724163	10.4168415	11.085366	10.96645	11.11488	11.192711	11.323609	9.646514	11.031036	10.838426	11.236675	10.7693205	11.2496195	11.032237	11.424598	10.263489	11.208267
