Genes	GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
1	6.4831996	6.450092	6.3824205	6.0906596	6.2769465	6.265584	6.309952	6.309763	5.9975505	6.121244	6.270154	6.2386975	6.3638163	6.122162	6.2396674	6.2115474	6.3986077	6.3359923	6.0583906	6.2833076	6.4655757	6.3361974	6.2360396	6.348803
100	7.6317844	7.4680834	7.564906	7.4570136	7.402283	7.346164	7.4343987	7.2640624	8.496162	7.61537	7.066828	7.5260267	7.714786	7.2667584	7.7005143	7.251774	7.8279557	7.409562	7.7842884	7.5021205	8.02153	7.6547003	8.611618	7.499598
10001	8.690067	9.291113	9.061281	9.211655	9.244988	9.103081	9.270546	9.0792465	9.2294445	9.136945	9.020312	9.288664	8.959472	9.165954	9.941873	9.062686	9.015213	9.115906	9.225297	8.9993305	9.291593	9.030325	9.055145	9.08739
10004	6.3165	6.057851	5.9680104	6.1150813	6.169459	5.9295397	6.1307397	5.978167	6.0868125	6.321407	5.857062	6.200556	6.1637926	6.036747	6.3284006	6.189313	6.3724985	6.129464	6.081004	6.034835	6.1156526	6.0977087	6.5231695	6.084398
10007	9.657507	8.832323	9.7403345	9.99995	9.574432	9.59491	10.025986	9.385096	9.689886	9.476102	9.494299	9.919653	9.915462	9.749957	9.893392	9.470069	10.007882	10.04651	10.14965	9.489521	10.253112	9.577265	11.146966	9.674831
10009	9.86474	10.541639	10.219087	10.135614	9.837788	9.756418	9.650175	9.654721	10.33426	9.951922	9.934731	9.56874	9.885644	9.506132	9.536432	9.443569	9.99995	8.966454	9.68231	9.12222	9.688122	9.058543	9.827078	9.289139
1001	5.8593297	5.851414	6.0048633	5.8258166	6.080279	5.7890587	6.0774813	6.0461855	5.919993	5.762322	5.7662377	5.901903	5.7087007	6.0023203	6.138909	6.1573424	5.926853	5.947814	5.973608	5.9939475	5.954679	5.979682	5.9964423	5.933177
10010	8.555297	8.695223	8.707	9.361632	8.964026	9.05205	9.046679	9.271604	9.15871	9.116369	9.163037	9.08637	9.189665	9.60688	9.420396	9.021612	9.278112	9.217036	8.97772	9.341044	9.341971	9.39833	8.805656	8.698444
10011	7.445427	6.9429293	7.0770617	7.17458	7.139376	7.3768706	7.0913525	7.211084	7.1790457	7.1942677	6.900568	6.8346667	6.8744216	7.1020203	7.035776	6.7083626	6.6017275	6.8622823	7.3014154	6.8686686	7.289819	7.089843	7.180656	7.0999603
100126270	5.799234	5.904061	6.076329	5.91083	5.8665204	5.92982	6.03479	5.786763	5.973497	5.972932	5.9652953	5.8842015	5.81814	5.8871527	5.8076253	5.909272	5.9510875	5.930419	5.8535337	5.827866	5.8314514	5.8312635	5.8800097	5.9793653
100126798	6.879085	7.569484	6.2865005	6.971185	6.113695	6.04886	7.2102394	6.4367585	8.234946	7.175509	6.8255253	6.1871448	7.0096784	6.0752892	6.9728494	6.8760343	6.3781047	7.488132	7.6913977	6.62158	6.27247	7.6339254	7.1799827	6.371265
