Genes	GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
1	6.43201	6.445658	6.0422406	6.274117	6.4845123	6.2386975	6.3638163	6.122162	6.2396674	6.2115474	6.3986077	6.3359923	6.0583906	6.2833076	6.4655757	6.3361974	6.2360396	6.348803
100	7.9782248	7.9122343	7.3199387	7.189372	7.4150834	7.5260267	7.714786	7.2667584	7.7005143	7.251774	7.8279557	7.409562	7.7842884	7.5021205	8.02153	7.6547003	8.611618	7.499598
10001	8.775299	9.228485	9.199441	9.249969	9.017979	9.288664	8.959472	9.165954	9.941873	9.062686	9.015213	9.115906	9.225297	8.9993305	9.291593	9.030325	9.055145	9.08739
10004	6.0869074	6.432624	6.279788	6.0992785	6.075548	6.200556	6.1637926	6.036747	6.3284006	6.189313	6.3724985	6.129464	6.081004	6.034835	6.1156526	6.0977087	6.5231695	6.084398
10007	10.417809	10.250469	9.588469	9.455208	9.901887	9.919653	9.915462	9.749957	9.893392	9.470069	10.007882	10.04651	10.14965	9.489521	10.253112	9.577265	11.146966	9.674831
10009	9.87921	10.27718	10.099563	10.164299	10.061919	9.56874	9.885644	9.506132	9.536432	9.443569	9.99995	8.966454	9.68231	9.12222	9.688122	9.058543	9.827078	9.289139
1001	6.1584973	5.937058	5.8733416	5.786247	5.8014283	5.901903	5.7087007	6.0023203	6.138909	6.1573424	5.926853	5.947814	5.973608	5.9939475	5.954679	5.979682	5.9964423	5.933177
10010	8.48802	9.11836	9.091701	9.050246	9.000208	9.08637	9.189665	9.60688	9.420396	9.021612	9.278112	9.217036	8.97772	9.341044	9.341971	9.39833	8.805656	8.698444
10011	7.385816	6.9774337	7.2450857	6.905759	7.3683314	6.8346667	6.8744216	7.1020203	7.035776	6.7083626	6.6017275	6.8622823	7.3014154	6.8686686	7.289819	7.089843	7.180656	7.0999603
100126270	5.9748163	5.9474497	5.841468	5.974315	6.027045	5.8842015	5.81814	5.8871527	5.8076253	5.909272	5.9510875	5.930419	5.8535337	5.827866	5.8314514	5.8312635	5.8800097	5.9793653
100126798	7.548857	6.3708086	6.653498	6.713976	6.8965592	6.1871448	7.0096784	6.0752892	6.9728494	6.8760343	6.3781047	7.488132	7.6913977	6.62158	6.27247	7.6339254	7.1799827	6.371265
100128788	6.5074234	6.6104956	6.352362	6.393016	6.813114	6.330949	6.391959	6.4806857	6.1627464	6.583314	6.0490365	6.3652287	6.193189	6.192565	6.1393275	6.3793097	6.4819307	6.392846
