genes	WPR	RankWPR
6927	0.000110619769941194	19
1499	9.28000911276062e-05	42
4780	7.49874966320185e-05	134
7249	7.67934977414289e-05	112
8289	8.27231552029835e-05	65
8216	7.27478009837174e-05	186
6146	9.85931017634529e-05	34
841	7.22211591030924e-05	201
5290	7.72427646271454e-05	103
5157	7.22648364059689e-05	199
3572	7.1343566495371e-05	377
196528	7.08714247261733e-05	413
1029	6.47897304079495e-05	451
5728	7.92898675595574e-05	82
5624	7.57145795908464e-05	126
8312	6.65139745462528e-05	435
9223	7.31277727145015e-05	177
2243	7.2491006032338e-05	194
92	7.22211591030924e-05	201
7248	7.1343566495371e-05	377
